"","all_star_status","team_id","team_full_name","link","season","team_code","file_code","team_abbreviation","team_name","location_name","first_year_of_play","short_name","franchise_name","club_name","active","spring_league_id","spring_league_name","spring_league_link","spring_league_abbreviation","venue_id","venue_name","venue_link","spring_venue_id","spring_venue_link","league_id","league_name","league_link","division_id","division_name","division_link","sport_id","sport_link","sport_name","parent_org_name","parent_org_id"
"56","N",561,"Salt Lake Bees","/api/v1/teams/561",2022,"slc","t561","SL","Bees","Salt Lake City","1994","Salt Lake","Salt Lake","Bees",TRUE,NA,"","","",2772,"Smith's Ballpark","/api/v1/venues/2772",NA,"",112,"Pacific Coast League","/api/v1/league/112",231,"Pacific Coast League West","/api/v1/divisions/231",11,"/api/v1/sports/11","Triple-A","Los Angeles Angels",108
"57","N",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2022,"jax","t564","JAX","Jumbo Shrimp","Jacksonville","1970","Jacksonville","Jacksonville","Jumbo Shrimp",TRUE,NA,"","","",2852,"121 Financial Ballpark","/api/v1/venues/2852",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Miami Marlins",146
"58","N",568,"Norfolk Tides","/api/v1/teams/568",2022,"nor","t568","NOR","Tides","Norfolk","1961","Norfolk","Norfolk","Tides",TRUE,NA,"","","",2781,"Harbor Park","/api/v1/venues/2781",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Baltimore Orioles",110
"59","N",5434,"Sugar Land Space Cowboys","/api/v1/teams/5434",2022,"sls","t5434","SUG","Space Cowboys","Sugar Land","2012","Sugar Land","Sugar Land","Space Cowboys",TRUE,NA,"","","",5421,"Constellation Field","/api/v1/venues/5421",NA,"",112,"Pacific Coast League","/api/v1/league/112",233,"Pacific Coast League East","/api/v1/divisions/233",11,"/api/v1/sports/11","Triple-A","Houston Astros",117
"60","N",445,"Columbus Clippers","/api/v1/teams/445",2022,"col","t445","COL","Clippers","Columbus","1977","Columbus","Columbus","Clippers",TRUE,NA,"","","",3970,"Huntington Park","/api/v1/venues/3970",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Cleveland Guardians",114
"61","N",452,"Altoona Curve","/api/v1/teams/452",2022,"alt","t452","ALT","Curve","Altoona","1999","Altoona","Altoona","Curve",TRUE,NA,"","","",2733,"Peoples Natural Gas Field","/api/v1/venues/2733",NA,"",113,"Eastern League","/api/v1/league/113",213,"Eastern League Southwest","/api/v1/divisions/213",12,"/api/v1/sports/12","Double-A","Pittsburgh Pirates",134
"62","N",260,"Tulsa Drillers","/api/v1/teams/260",2022,"tul","t260","TUL","Drillers","Tulsa","1977","Tulsa","Tulsa","Drillers",TRUE,NA,"","","",4149,"ONEOK Field","/api/v1/venues/4149",NA,"",109,"Texas League","/api/v1/league/109",241,"Texas League North","/api/v1/divisions/241",12,"/api/v1/sports/12","Double-A","Los Angeles Dodgers",119
"63","N",1350,"Northwest Arkansas Naturals","/api/v1/teams/1350",2022,"nwa","t1350","NWA","Naturals","Springdale","2008","NW Arkansas","NW Arkansas","Naturals",TRUE,NA,"","","",3329,"Arvest Ballpark","/api/v1/venues/3329",NA,"",109,"Texas League","/api/v1/league/109",241,"Texas League North","/api/v1/divisions/241",12,"/api/v1/sports/12","Double-A","Kansas City Royals",118
"64","N",522,"Reading Fightin Phils","/api/v1/teams/522",2022,"rea","t522","REA","Fightin Phils","Reading","1952","Reading","Reading","Fightin Phils",TRUE,NA,"","","",2769,"FirstEnergy Stadium","/api/v1/venues/2769",NA,"",113,"Eastern League","/api/v1/league/113",212,"Eastern League Northeast","/api/v1/divisions/212",12,"/api/v1/sports/12","Double-A","Philadelphia Phillies",143
"65","N",463,"New Hampshire Fisher Cats","/api/v1/teams/463",2022,"nhm","t463","NH","Fisher Cats","Manchester","2004","New Hampshire","New Hampshire","Fisher Cats",TRUE,NA,"","","",2868,"Delta Dental Stadium","/api/v1/venues/2868",NA,"",113,"Eastern League","/api/v1/league/113",212,"Eastern League Northeast","/api/v1/divisions/212",12,"/api/v1/sports/12","Double-A","Toronto Blue Jays",141
